Ram,Price_euros,Intel,Intel_baja,Intel_media,Intel_alta,AMD,Gaming,Ultrabook,Notebook,Nvidia,Nvidia_Geforce,Nvidia_graphics,Intel_graphics,Screen_HD,SSD,HDD,HDD+SSD,ppi
4,441.8,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
8,709.0,true,false,false,false,false,false,false,true,true,false,false,false,true,false,true,false,141.21199808219862
4,1082.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,157.3505121487356
16,1079.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,false,false,141.21199808219862
8,1149.0,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,157.3505121487356
8,951.0,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,141.21199808219862
8,2050.38,true,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,157.3505121487356
8,1169.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,141.21199808219862
16,2620.0,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,209.8006828649808
8,1680.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,157.3505121487356
8,589.0,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,100.45466986113651
8,689.0,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,165.6321180513006
8,629.0,true,false,false,false,false,false,false,true,true,false,false,false,false,false,true,false,106.11306214269258
8,1590.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,165.6321180513006
8,1169.0,true,false,false,false,false,true,false,false,true,false,false,false,true,false,true,false,141.21199808219862
8,597.0,true,false,false,false,false,false,false,true,true,false,false,false,true,false,true,false,141.21199808219862
8,2041.0,true,false,false,false,false,false,false,false,false,false,true,true,false,true,false,false,220.84282406840083
6,789.0,true,false,false,false,false,false,false,true,true,false,false,false,true,true,false,false,141.21199808219862
8,1475.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,165.6321180513006
8,1695.0,false,false,false,false,true,true,false,false,false,false,false,false,true,true,true,true,127.33567457123111
16,2299.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,127.33567457123111
4,722.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,111.93520355955211
8,770.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,157.3505121487356
4,255.0,true,false,false,false,false,false,false,true,false,false,true,true,true,false,false,false,165.6321180513006
8,1388.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,141.21199808219862
4,272.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
12,1299.0,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,141.21199808219862
8,767.8,true,false,false,false,false,false,false,true,false,false,false,false,true,true,false,false,141.21199808219862
6,568.9,false,false,false,false,true,false,false,true,false,false,false,false,true,true,false,false,141.21199808219862
8,598.99,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,141.21199808219862
16,3499.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,false,false,157.3505121487356
8,911.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,141.21199808219862
6,479.0,true,false,false,false,false,false,false,true,false,false,true,true,true,false,true,false,141.21199808219862
8,900.0,true,false,false,false,false,false,false,true,true,false,false,false,true,false,true,false,141.21199808219862
4,398.99,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,100.45466986113651
16,1900.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,127.33567457123111
8,713.99,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,100.45466986113651
8,1296.99,true,false,false,false,false,false,true,false,false,false,false,false,true,true,false,false,141.21199808219862
8,573.0,true,false,false,false,false,false,false,true,false,false,true,true,true,true,false,false,141.21199808219862
2,199.0,false,false,false,false,true,false,false,true,false,false,false,false,false,false,false,false,111.93520355955211
4,755.0,true,false,false,false,false,false,false,true,false,false,true,true,false,false,true,false,111.93520355955211
2,209.0,true,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,135.0942111925629
4,419.0,true,false,false,false,false,false,false,true,false,false,true,true,false,true,false,false,100.45466986113651
32,3072.89,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,127.33567457123111
16,1799.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,141.21199808219862
8,799.0,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,141.21199808219862
4,564.0,true,false,false,false,false,false,false,true,true,false,false,false,true,false,true,false,127.33567457123111
16,1891.0,true,false,false,false,false,true,false,false,true,false,false,false,true,true,true,true,157.3505121487356
8,698.0,true,false,false,false,false,false,false,true,true,false,false,false,false,true,false,false,106.11306214269258
8,2299.0,true,false,false,false,false,false,true,false,false,false,true,true,true,true,false,false,141.21199808219862
8,2229.0,true,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,141.21199808219862
